Timestamp,Day,City,Weather Type,Latitude,Longitude,Temperature (°C),Feels Like (°C),Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Cloudiness (%),Weather Condition,Rain (3h) (mm),AQI,PM2.5 (µg/m³),PM10 (µg/m³),Sunrise,Sunset
2026-02-13 00:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,17.58,17.51,16.44,17.58,81,1014,3.08,87,44,scattered clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-13 03:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,19.68,19.4,19.68,20.44,65,1015,3.12,95,54,broken clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-13 06:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,27.27,26.51,27.27,27.27,28,1014,4.52,105,54,broken clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-13 09:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,29.89,28.22,29.89,29.89,22,1010,4.58,110,15,few clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-13 12:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,28.41,27.18,28.41,28.41,25,1011,5.1,104,11,few clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-13 15:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,22.72,22.2,22.72,22.72,44,1014,5.93,117,8,clear sky,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-13 18:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,19.73,19.35,19.73,19.73,61,1015,5.27,95,8,clear sky,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-13 21:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,17.78,17.47,17.78,17.78,71,1013,3.65,93,65,broken clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-14 00:00:00,Day 2,Bengaluru,Forecast,12.9762,77.6033,16.68,16.31,16.68,16.68,73,1014,3.22,113,78,broken clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-14 03:00:00,Day 2,Bengaluru,Forecast,12.9762,77.6033,20.64,20.01,20.64,20.64,48,1016,2.84,89,56,broken clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-14 06:00:00,Day 2,Bengaluru,Forecast,12.9762,77.6033,27.9,26.73,27.9,27.9,22,1014,3.73,79,46,scattered clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-14 09:00:00,Day 2,Bengaluru,Forecast,12.9762,77.6033,30.65,28.66,30.65,30.65,15,1010,4.08,77,85,overcast clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-14 12:00:00,Day 2,Bengaluru,Forecast,12.9762,77.6033,29.18,27.52,29.18,29.18,16,1010,4.81,90,79,broken clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-14 15:00:00,Day 2,Bengaluru,Forecast,12.9762,77.6033,23.16,22.34,23.16,23.16,31,1014,5.2,104,100,overcast clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-14 18:00:00,Day 2,Bengaluru,Forecast,12.9762,77.6033,19.2,18.53,19.2,19.2,52,1014,4.72,95,100,overcast clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-14 21:00:00,Day 2,Bengaluru,Forecast,12.9762,77.6033,17.91,17.09,17.91,17.91,51,1013,3.46,92,100,overcast clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-15 00:00:00,Day 3,Bengaluru,Forecast,12.9762,77.6033,17.19,15.96,17.19,17.19,38,1013,2.41,90,100,overcast clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-15 03:00:00,Day 3,Bengaluru,Forecast,12.9762,77.6033,21.63,20.48,21.63,21.63,24,1015,3.39,91,66,broken clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-15 06:00:00,Day 3,Bengaluru,Forecast,12.9762,77.6033,28.83,27.23,28.83,28.83,13,1013,4.3,75,41,scattered clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-15 09:00:00,Day 3,Bengaluru,Forecast,12.9762,77.6033,31.2,29.11,31.2,31.2,10,1009,3.97,81,30,scattered clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-15 12:00:00,Day 3,Bengaluru,Forecast,12.9762,77.6033,29.65,27.86,29.65,29.65,12,1009,4.84,101,35,scattered clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-15 15:00:00,Day 3,Bengaluru,Forecast,12.9762,77.6033,23.22,22.25,23.22,23.22,25,1013,5.19,109,12,few clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-15 18:00:00,Day 3,Bengaluru,Forecast,12.9762,77.6033,19.86,19.15,19.86,19.86,48,1014,4.85,90,28,scattered clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-15 21:00:00,Day 3,Bengaluru,Forecast,12.9762,77.6033,18.44,17.78,18.44,18.44,55,1012,3.49,92,26,scattered clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-16 00:00:00,Day 4,Bengaluru,Forecast,12.9762,77.6033,17.54,16.76,17.54,17.54,54,1013,2.74,112,28,scattered clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-16 03:00:00,Day 4,Bengaluru,Forecast,12.9762,77.6033,21.99,21.18,21.99,21.99,36,1014,3.33,107,12,few clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-16 06:00:00,Day 4,Bengaluru,Forecast,12.9762,77.6033,28.9,27.34,28.9,28.9,18,1013,4.33,94,7,clear sky,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-16 09:00:00,Day 4,Bengaluru,Forecast,12.9762,77.6033,31.04,28.97,31.04,31.04,14,1008,4.83,103,53,broken clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-16 12:00:00,Day 4,Bengaluru,Forecast,12.9762,77.6033,29.05,27.42,29.05,29.05,16,1009,5.18,101,75,broken clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-16 15:00:00,Day 4,Bengaluru,Forecast,12.9762,77.6033,23.41,22.62,23.41,23.41,31,1012,5.85,115,97,overcast clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-16 18:00:00,Day 4,Bengaluru,Forecast,12.9762,77.6033,20.62,19.94,20.62,20.62,46,1013,5.26,103,97,overcast clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-16 21:00:00,Day 4,Bengaluru,Forecast,12.9762,77.6033,18.72,18.03,18.72,18.72,53,1011,4.01,106,79,broken clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-17 00:00:00,Day 5,Bengaluru,Forecast,12.9762,77.6033,17.52,16.74,17.52,17.52,54,1012,3.13,118,79,broken clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-17 03:00:00,Day 5,Bengaluru,Forecast,12.9762,77.6033,22.06,21.21,22.06,22.06,34,1014,3.54,111,25,scattered clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-17 06:00:00,Day 5,Bengaluru,Forecast,12.9762,77.6033,28.98,27.36,28.98,28.98,15,1012,4.74,106,13,few clouds,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
2026-02-17 09:00:00,Day 5,Bengaluru,Forecast,12.9762,77.6033,31.44,29.29,31.44,31.44,12,1008,4.65,105,8,clear sky,0,3,38.83,50.75,2026-02-13 06:43:02,2026-02-13 18:24:46
